epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.436,1.78103,2.92143,1.94178,0.00333,1,0.61941,0.24494,1.34912,3.51465,1.67858,4e-05,4e-05,4e-05
2,70.1899,1.53767,2.63121,1.73798,0.00333,1,0.89833,0.42412,1.25272,3.41088,1.56606,9.802e-05,9.802e-05,9.802e-05
3,106.176,1.73568,2.516,1.90797,0.00333,1,0.88049,0.59641,1.11272,3.20955,1.50715,0.000153664,0.000153664,0.000153664
4,144.29,1.47426,2.01015,1.69352,0.00333,1,0.79396,0.49272,1.16795,3.15256,1.53546,0.000206932,0.000206932,0.000206932
5,180.887,1.52633,1.89095,1.68632,0.00333,1,0.75759,0.45013,1.31188,3.18357,1.63723,0.000257824,0.000257824,0.000257824
6,216.022,1.39444,1.71992,1.53701,0.00333,1,0.73216,0.43101,1.26208,3.34891,1.63598,0.00030634,0.00030634,0.00030634
7,252.754,1.26434,1.5677,1.48722,0.00333,1,0.73014,0.35747,1.27398,3.31163,1.68661,0.00035248,0.00035248,0.00035248
8,295.52,1.30307,1.85757,1.55916,0.21005,0.9,0.66557,0.29929,1.45117,3.26716,1.78534,0.000396244,0.000396244,0.000396244
9,333.178,1.27894,1.58098,1.42262,0.00333,1,0.75587,0.47304,1.24276,3.15323,1.68541,0.000437632,0.000437632,0.000437632
10,370.126,1.28483,1.48468,1.41751,0.455,0.8,0.75618,0.4397,1.21348,3.10967,1.63908,0.000476644,0.000476644,0.000476644
11,406.349,1.43766,1.69817,1.56126,1,0.3918,0.79008,0.54598,1.12456,2.99365,1.53898,0.00051328,0.00051328,0.00051328
12,446.058,1.34692,1.75453,1.52393,1,0.38189,0.77048,0.4073,1.49484,3.01685,1.78355,0.00054754,0.00054754,0.00054754
13,484.287,1.42014,1.76441,1.58128,0.86131,0.3,0.60127,0.23084,1.88963,3.17622,2.03848,0.000579424,0.000579424,0.000579424
14,520.108,1.27082,1.50807,1.44701,0.9747,0.4,0.74118,0.32517,1.79339,3.13688,1.95332,0.000608932,0.000608932,0.000608932
