epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8684,1.67668,2.92404,1.98893,0.00333,1,0.63241,0.27691,1.37317,3.50502,1.74805,4e-05,4e-05,4e-05
2,50.6324,1.66276,2.73229,1.92343,0.00333,1,0.88812,0.45791,1.37163,3.4778,1.73145,9.67e-05,9.67e-05,9.67e-05
3,74.1783,1.56659,2.43142,1.773,0.00333,1,0.927,0.49584,1.20804,3.29908,1.6173,0.00014944,0.00014944,0.00014944
4,98.3002,1.45118,2.0373,1.67615,0.00333,1,0.82577,0.49716,1.20483,3.18972,1.65523,0.00019822,0.00019822,0.00019822
5,121.9,1.37223,1.88617,1.61057,0.00737,1,0.79708,0.45257,1.34688,3.09539,1.68272,0.00024304,0.00024304,0.00024304
6,147.885,1.48703,2.10738,1.66909,0.00333,1,0.72198,0.43578,1.43715,3.19841,1.74545,0.0002839,0.0002839,0.0002839
7,176.244,1.31157,1.77122,1.53616,0.00333,1,0.68196,0.36012,1.3964,3.35004,1.74685,0.0003208,0.0003208,0.0003208
8,203.822,1.37601,1.85566,1.61084,0.00333,1,0.66912,0.32244,1.38396,3.35878,1.72464,0.00035374,0.00035374,0.00035374
9,233.508,1.44691,1.73297,1.58504,0.00333,1,0.68511,0.4346,1.27977,3.23234,1.61702,0.00038272,0.00038272,0.00038272
10,267.431,1.32898,1.65533,1.53768,0.00333,1,0.73602,0.42688,1.37494,3.21577,1.70815,0.00040774,0.00040774,0.00040774
11,301.926,1.36264,1.7096,1.54807,0.26802,1,0.72471,0.38918,1.35585,3.19244,1.71163,0.0004288,0.0004288,0.0004288
12,333.91,1.38824,1.72639,1.58075,0.58779,0.63636,0.76246,0.44868,1.34923,3.12929,1.66298,0.0004459,0.0004459,0.0004459
13,365.494,1.41673,1.72602,1.58977,1,0.34067,0.73547,0.41212,1.22131,3.11044,1.60616,0.00045904,0.00045904,0.00045904
14,397.005,1.34465,1.66848,1.57035,0.9365,0.27273,0.65569,0.42434,1.26074,3.08486,1.51402,0.00046822,0.00046822,0.00046822
15,428.78,1.24661,1.62316,1.45004,1,0.26236,0.75458,0.43973,1.31061,3.00047,1.54021,0.00047344,0.00047344,0.00047344
16,461.039,1.18988,1.44423,1.34562,1,0.26258,0.73897,0.43468,1.38074,3.04057,1.6351,0.0004747,0.0004747,0.0004747
17,493.173,1.20192,1.45537,1.3779,0.21163,1,0.64352,0.36975,1.61283,3.16504,1.86454,0.000472,0.000472,0.000472
18,523.943,1.2412,1.38379,1.42352,0.00273,0.81818,0.47713,0.26274,1.74889,3.42378,2.06848,0.00046534,0.00046534,0.00046534
19,554.236,1.11502,1.43135,1.41366,0.00333,1,0.42804,0.17245,2.19382,3.54976,2.51623,0.00045472,0.00045472,0.00045472
20,586.98,1.16332,1.32079,1.34916,0.40017,0.45455,0.47173,0.19129,2.13116,3.45717,2.57124,0.00044014,0.00044014,0.00044014
21,617.364,0.99742,1.95657,1.3991,0.61754,0.27273,0.40177,0.14588,2.42998,3.44519,2.80886,0.0004216,0.0004216,0.0004216
22,648.329,0.98735,1.85614,1.33005,0.02509,0.72727,0.10303,0.04682,2.64973,3.68831,3.13681,0.0003991,0.0003991,0.0003991
23,681.927,0.97355,1.82204,1.30901,0.00877,0.63636,0.07908,0.03575,2.90549,3.83786,3.55303,0.00037264,0.00037264,0.00037264
24,715.548,1.0971,1.91054,1.44314,0.0055,0.81818,0.20529,0.08558,2.93801,3.82193,3.53375,0.00034222,0.00034222,0.00034222
25,748.126,1.00743,1.73531,1.42299,0.04034,0.36364,0.21431,0.09198,2.97155,4.09991,3.56506,0.00030784,0.00030784,0.00030784
26,778.677,0.89472,1.65588,1.2222,0.20657,0.27273,0.21525,0.09315,3.01034,4.09746,3.58509,0.0002695,0.0002695,0.0002695
27,807.635,0.89834,1.70021,1.29022,0.4128,0.19346,0.19085,0.09398,3.07956,4.12836,3.56601,0.0002272,0.0002272,0.0002272
28,837.134,0.90423,1.60595,1.22118,0.49974,0.18182,0.26968,0.13942,2.71502,3.93045,3.20399,0.00018094,0.00018094,0.00018094
29,866.374,0.88378,1.63625,1.32794,0.49974,0.18182,0.26968,0.13942,2.71502,3.93045,3.20399,0.00013072,0.00013072,0.00013072
30,895.821,0.82657,1.57382,1.2465,0.47741,0.25219,0.27821,0.15391,2.65776,3.7876,3.02106,7.654e-05,7.654e-05,7.654e-05
